rank,paper_id,title,applicability,in_scope_groups,clean_accuracy_source_target_separate,f1_reason,transfer_denominator_clean_correct,f2_reason,conditions_on_source_attack_success,f3_reason,reports_absolute_counts,f4_reason,numeric_linf_or_l2_budget,f5_reason,artifacts_sufficient_to_recompute,f6_reason,f2_any_explicit_yes,f2_any_explicit_no,f3_any_explicit_yes,f3_any_explicit_no,artifact_review,bounds_review,review_file_sha256
52,f5014e34ed13191082cd20cc279ca4cc9adee84f,Stealing Neural Networks via Timing Side Channels,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,reviewed_not_applicable,not_applicable_to_located_results,27be2cc8b20b6a57453337511b5196deda2d7f87aa7c9d5fce706faa80bbd4af
53,dde69b706a2f0a68bd6b8fb90c187a935c6a5c6a,Adversarial Attack and Defense on Point Sets,cross_model_classification_attack_point_cloud,3,yes,separate_clean_values_on_transfer_populations,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_unstated,unclear,non_lp_chamfer_budget_and_unstated_scope,unclear,no_author_release_located,False,True,True,False,reviewed_no_author_release,matched_baseline_source_conditioned_not_unconditional,bf12509e8ac3a6db1988e428f3c01a762d7e68556da535a204301d9abeab2d78
54,c97ffc7725daf68406ea73d1ee82f5d11f19f448,ColorFool: Semantic Adversarial Colorization,cross_model_classification_attack,1,yes,separate_clean_values_all_targets,no,all_scopes_explicit_no,no,all_scopes_explicit_no,unclear,three_decimal_rates_do_not_identify_counts,no,explicit_unrestricted_color_attack_baseline_budgets_unstated,unclear,release_lacks_transfer_evaluation_code,False,True,False,True,reviewed_release_lacks_transfer_evaluation,not_applicable_prediction_change_outcome,538dafbaa64b66f5a894fe8e4d8c7d0023f26afbb452e2aa9eda1c1992739a67
55,fda5f4facce9d5567c090d7ac733158e0fe93dc7,DEEPSEC: A Uniform Platform for Security Analysis of Deep Learning Model,cross_model_classification_attack,1,unclear,partial_separate_clean_values,unclear,unresolved_scope,yes,all_scopes_explicit_yes,unclear,count_reconstruction_candidate_not_verified_all_cells,unclear,mixed_explicit_linf_radius_and_minimum_norm_attacks,unclear,release_lacks_transfer_models_and_script,False,False,True,False,reviewed_release_lacks_transfer_models,not_applicable_source_success_conditioned,df9cb69aedc2899a7ebea2a29dcd383d9d22d93e68c74c0c0a9780e609ceb14b
56,428c2e5992d6ed3186c087cba0fdba2ab6a468b2,Improving the Generalization of Adversarial Training with Domain Adaptation,cross_model_classification_attack_defense_evaluation,1,yes,separate_clean_values_all_targets,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_unstated,yes,explicit_linf_radius_all_results,unclear,partial_release_candidate_unverified,False,False,False,False,partial_release_candidate_unverified,candidate_population_match_unstated,1e74d41e8d4c0ff8ea391555663ac280be8e3e4cf40439ca9136d7dabaefb7e8
57,c4e0c4a6e82ed58ca57ec36a8ec275db38473ba2,Structure Invariant Transformation for better Adversarial Transferability,cross_model_classification_attack,2,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,graphical_or_averaged_rates,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,True,False,False,False,candidate_release_sufficiency_unverified,not_applicable_clean_correct_conditioned,ad54f120e2c86c9fa440464871d06de34c01310299080c08ebb6e2de204c4fbd
58,bcac1b00badd7c8830e10ba4eb813ad79a3222b5,Backpropagating Linearly Improves Transferability of Adversarial Examples,cross_model_classification_attack,2,unclear,partial_separate_clean_values,unclear,unresolved_scope,unclear,unresolved_scope,unclear,partial_scope_counts_only,yes,explicit_linf_radius_all_results,unclear,candidate_release_selection_lists_not_released,True,False,False,False,candidate_release_sufficiency_unverified,not_applicable_clean_correct_conditioned,b0b7c6d82eb1340787741829b5e30556d607401a689c8b4a07bc660bc1422f75
59,d73561ab8318ce343f5cb15f96c74f210b6b24fa,Imitation Attacks and Defenses for Black-box Machine Translation Systems,other_attack_outcome_machine_translation,3,unclear,no_clean_accuracy_defined_for_outcome,unclear,unresolved_scope,unclear,unresolved_scope,unclear,partial_scope_counts_only,no,explicit_discrete_token_attack_not_lp,unclear,hosted_targets_unverifiable,False,False,True,False,reviewed_hosted_targets_unverifiable,not_applicable_different_outcome,a49b3b1db5cbf076d4dd23429581820a1f1bf5588db2b03e4a2dab143ed5be95
60,8e98bef0a7868f05ced457b9433d674ab4adf218,Boosting Adversarial Transferability by Block Shuffle and Rotation,cross_model_classification_attack,2,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_unstated,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,False,False,False,False,candidate_release_sufficiency_unverified,not_eligible_clean_baseline_missing,32fee382a33307531d087028a43f17931eab12dcb25a08e56f82e85b6f0ffad9
61,060c6c8312cd9277c97379e82db7c36b9321cce2,Towards Transferable Targeted Attack,cross_model_classification_attack_targeted,2,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_unstated,yes,explicit_linf_radius_all_results,unclear,no_author_release_located,False,False,False,True,reviewed_no_author_release,not_eligible_targeted_clean_baseline_missing,dd0568b2dd8b13c4ac95e7fea94b7392e02501a249fe76647f9e78555c0c57e1
62,3f2095bbbf3e47fbac26da70e95a219c23e3bac9,Black-Box Adversarial Attack with Transferable Model-based Embedding,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,reviewed_not_applicable,not_applicable_to_located_results,22bdfc7b0129262e5743c60d32af9d887e7b9e2e7f54d24148bb6aab095a1096
63,1a6446a451472b1c5815ce3e00cf84eb7e641a2a,Universal Adversarial Perturbations for Speech Recognition Systems,other_attack_outcome_speech_recognition,1,unclear,no_clean_accuracy_defined_for_outcome,no,all_scopes_explicit_no,no,all_scopes_explicit_no,unclear,denominator_unstated,yes,explicit_linf_radius_all_results,unclear,no_author_release_located,False,True,False,True,reviewed_no_author_release,not_applicable_prediction_change_outcome,859afe7b7aaaa8111a7eec0ffdc1c875c66c746e8ee50cead702fabae7f36c75
64,36ad06e6f9b39192e7668634eadd6fcf9593e922,Efficient Adversarial Training With Transferable Adversarial Examples,cross_model_classification_attack_other_ratio_outcome,1,unclear,separate_clean_values_not_located_for_transfer_scope,unclear,unresolved_scope,unclear,unresolved_scope,unclear,graphical_ratio_outcome,unclear,budget_not_stated_for_transfer_scope,unclear,code_release_transfer_configuration_unverified,False,False,False,False,code_release_transfer_configuration_unverified,not_eligible_ratio_outcome,49596b98fd64b49e119505be5b7ee7d5eb61d97961811d9bfb1921a27d52774c
65,765896e190d03a99f384bbedc412d2a52cf98cea,Deceiving End-to-End Deep Learning Malware Detectors using Adversarial Examples,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,reviewed_not_applicable,not_applicable_to_located_results,a706330a9f5784c17749b5348d1f0b394bfdefe380aed1cdda5e810500246bf0
66,63dc08b8efd67cf788cd17301bdfaf74d9450d93,Semantic Robustness of Models of Source Code,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,reviewed_not_applicable,not_applicable_to_located_results,0e4fbb9bd13800d621e48fb210edf10bb607343511a0fc9fc823969abfacf89f
67,538f0c8379f9e091d4769ec3bdff6eb45130554f,Boosting the Transferability of Adversarial Attacks with Reverse Adversarial Perturbation,cross_model_classification_attack,3,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,partial_scope_counts_only,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,False,False,False,False,candidate_release_sufficiency_unverified,not_eligible_clean_baseline_missing,a69b89a0e0105f7735cecbc4402ce167209535e3e8f91603993da07353ce37a3
68,0ab0b3cf5811a219339ad3715ce719f550122a62,Universal Adversarial Attack on Attention and the Resulting Dataset DAmageNet,cross_model_classification_attack,2,yes,separate_clean_values_all_transfer_victims,unclear,mixed_explicit,unclear,unresolved_scope,unclear,averaged_or_nonunique_rates,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,True,True,False,True,candidate_release_sufficiency_unverified,eligible_nominal_bounds_recorded_pending_verification,c8b3489d0cc0253d0abff1943ba1bf8c1c2cf8fab3e70698b27a17d0c2b84867
69,94b94c545cbb90e2d1ab316758a910c53ed95b66,Rethinking Model Ensemble in Transfer-based Adversarial Attacks,cross_model_classification_attack,3,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,partial_scope_counts_only,unclear,mixed_explicit_linf_and_patch_attacks,unclear,candidate_release_sufficiency_unverified,False,False,False,False,candidate_release_sufficiency_unverified,not_eligible_clean_baseline_missing,850fdf2dbdaf5ea517f2f8c20177e97b847bff9e9ef9fc1d2b39cc0713fd5fe4
70,9e5dd10d0706cec7d16e03f45f8a347c194d5888,Improving the Transferability of Adversarial Samples with Adversarial Transformations,cross_model_classification_attack,2,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_unstated,yes,explicit_linf_radius_all_results,unclear,no_author_release_located,False,False,False,False,reviewed_no_author_release,not_eligible_clean_baseline_missing,f418a3211f1494b2fdb5064aceb9691de342b6912f6f7aa0704a1c50016817dc
71,c6a3aff5cb098a402f5384ed46b333dad672044a,Curls & Whey: Boosting Black-Box Adversarial Attacks,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,reviewed_not_applicable,not_applicable_to_located_results,6dd4f560eb0af12b573687acf0cc34fa9ceae96ea0390f60f9a1f7dd8731eb01
72,16a8e329c06b4c6f61762da7fa77a84bf3e12dca,"Model Extraction and Adversarial Transferability, Your BERT is Vulnerable!",cross_model_text_classification_attack,1,yes,separate_clean_values_all_targets,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_unstated,no,explicit_discrete_token_attack_not_lp,unclear,candidate_release_sufficiency_unverified,False,False,False,False,candidate_release_sufficiency_unverified,population_alignment_unresolved,3f1caed980069e8914f5de7f2220229c1c5b01694df57076055271cf1507de49
73,f90e535758ba262ebbdd1e7966f6645eff535604,T-SEA: Transfer-Based Self-Ensemble Attack on Object Detection,other_attack_outcome_object_detection,1,unclear,no_clean_accuracy_defined_for_outcome,unclear,unresolved_scope,unclear,unresolved_scope,unclear,continuous_outcome_counts_not_applicable,no,explicit_patch_attack_without_linf_l2_budget,unclear,candidate_release_sufficiency_unverified,False,False,False,False,candidate_release_sufficiency_unverified,not_applicable_different_outcome,95a56195457ca734f848d20d63b6b8cd7cee17c41b22e9cd483e32e2202cd429
74,84421139efaae7862116f39d4df1cd5ea27103fc,Adversarial Threats to DeepFake Detection: A Practical Perspective,cross_model_classification_attack_deepfake_detection,2,unclear,clean_metric_on_different_population,yes,all_scopes_explicit_yes,unclear,unresolved_scope,unclear,denominator_unstated,yes,explicit_linf_radius_all_results,unclear,no_author_release_located,True,False,False,False,reviewed_no_author_release,not_applicable_clean_correct_conditioned,b8928620eb91d8a14c74b258846df4ab0cb25d42a65f8f662c1f753ec8e3c541
75,7f1e602a44b56b9853fcc2063df9593e7b79ba22,Adversarial Examples in Modern Machine Learning: A Review,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,reviewed_not_applicable,not_applicable_to_located_results,5c1d2cb0c71db1f0d7a5a7a2d7105655361cc4a7d4afcfa339cea7ea29050ba7
76,11f767a0ad2b7b005fbdaea4a6139a7db9a7c93d,Understanding and Enhancing the Transferability of Adversarial Examples,cross_model_classification_attack,3,unclear,partial_separate_clean_values,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_stated_counts_not_extracted,yes,explicit_linf_radius_all_results,unclear,no_author_release_located,True,False,False,False,reviewed_no_author_release,not_applicable_clean_correct_conditioned,2b7683f52794aa643047844695781455e6f713f67853817551d33144f20d0993
77,75bd07e920f631102723cca4fee996829cb41c0e,Universal Adversarial Examples in Remote Sensing: Methodology and Benchmark,cross_model_classification_and_segmentation_attack,2,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_implied_counts_not_extracted,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,False,True,False,True,candidate_release_sufficiency_unverified,clean_baseline_missing_unconditional,eceacaa69f23b9bf9d87ecbc406c769abea775224e9c762afa9e97ee9e808cc7
78,47b4744162537f40572cdd723f8f37fb489a3e75,A Unified Approach to Interpreting and Boosting Adversarial Transferability,cross_model_classification_attack,3,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,averaged_rates_not_single_proportions,yes,explicit_linf_l2_radius_all_results,unclear,candidate_release_sufficiency_unverified,False,True,False,True,candidate_release_sufficiency_unverified,clean_baseline_missing,cc62bb737a499c5bd550ab4c892a875b86a652cc71a5db023f22b91760532319
79,d90038afede2d2ea0c5b3de7a9c96485234bc29e,ML-LOO: Detecting Adversarial Examples with Feature Attribution,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,reviewed_not_applicable,not_applicable_to_located_results,d0188042cf63bcb1385ab409c62b55502c8e2c24170452d848234954e2232650
80,07322a941dc6ebe16ac2a31fddd356bd726fe8dd,Boosting Adversarial Transferability through Enhanced Momentum,cross_model_classification_attack,2,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_unstated,yes,explicit_linf_radius_all_results,unclear,no_author_release_located,False,False,False,False,reviewed_no_author_release,not_eligible_clean_baseline_missing,09812e7a3fe47217dc402ad5aefa99127d1603114a95acc91f6120e024ab07e3
